source_id,ll,bb,X_8.125,Y_8.125,X_8.50,Y_8.50,Vlsr
4319386315388709120,  48.24,  -0.02,   1.83,   6.49,   1.83,   6.87,  42.05
4322963271531867008,  52.51,  -0.10,   1.75,   6.78,   1.75,   7.16,  38.09
5227309970467909632, -62.10, -10.34,  -8.68,   3.53,  -8.68,   3.91, 103.93
5242097268025630208, -70.68,  -1.39,  -4.18,   6.66,  -4.18,   7.03, -22.02
5250642294409031296, -76.91,  -7.95,  -5.23,   6.91,  -5.23,   7.28, 101.62
5254931145700522368, -75.15,  -3.45,  -5.15,   6.76,  -5.15,   7.13,   5.80
5254996944601684864, -75.67,  -2.63,  -3.01,   7.36,  -3.01,   7.73,  -5.22
5255544570099433088, -75.80,  -1.33,  -6.47,   6.49,  -6.47,   6.86,   8.59
5258452434745882752, -77.47,  -2.13,  -4.30,   7.17,  -4.30,   7.54, -12.81
5258582967392362112, -76.50,  -1.08,  -3.20,   7.36,  -3.20,   7.73,  -4.60
5258630212036227712, -76.58,  -1.07,  -4.69,   7.01,  -4.69,   7.38,  -1.87
5297238051000234496, -79.40, -10.36,  -6.42,   6.92,  -6.42,   7.30,  16.37
5308364833806849536, -81.53,  -0.60,  -5.19,   7.35,  -5.19,   7.73,  16.18
5308879233457127296, -82.80,  -0.85,  -6.50,   7.30,  -6.50,   7.68,  59.82
5313273255561553152, -86.12,  -0.82,  -1.48,   8.02,  -1.48,   8.40, -12.44
5327625352633548288, -91.46,   1.41,  -2.47,   8.19,  -2.47,   8.56,   9.13
5328856084103109504, -92.96,  -1.49,  -4.89,   8.38,  -4.89,   8.75,  36.50
5329902582960732672, -94.51,  -1.51,  -2.11,   8.29,  -2.11,   8.67,  12.68
5333085909682624768, -63.65,  -0.94,  -5.14,   5.58,  -5.14,   5.96,  36.85
5333332131560984704, -64.82,  -0.86,  -3.09,   6.67,  -3.09,   7.05, -14.07
5337244090844988160, -68.90,  -0.64,  -5.80,   5.89,  -5.80,   6.26,  19.09
5337989216147322368, -70.39,  -1.19,  -5.78,   6.07,  -5.78,   6.44,   3.76
5338021342505781632, -70.55,  -0.92,  -3.95,   6.73,  -3.95,   7.10, -12.04
5339805781133507072, -68.97,   3.35,  -5.68,   5.94,  -5.68,   6.32,   7.32
5350423490035952896, -72.17,  -0.23,  -3.48,   7.01,  -3.48,   7.38,   1.55
5350632122367075584, -73.55,  -0.56,  -3.33,   7.14,  -3.33,   7.52,  -6.36
5350638307120064640, -73.57,  -0.50,  -2.13,   7.50,  -2.13,   7.87, -23.01
5350654146959597824, -73.96,  -0.47,  -3.72,   7.06,  -3.72,   7.43, -12.94
5350812957675754112, -73.71,   0.66,  -2.54,   7.38,  -2.54,   7.76,  -7.64
5351089691023697280, -72.95,   1.93,  -7.25,   5.90,  -7.25,   6.28,  13.37
5351148411804105856, -73.57,   1.00,  -6.51,   6.21,  -6.51,   6.58,  -7.08
5351562309198714368, -74.51,   0.29,  -2.81,   7.35,  -2.81,   7.72, -18.60
5354262744120748416, -75.14,   4.77,  -2.58,   7.44,  -2.58,   7.82,  -4.09
5355107405250191360, -77.52,   0.70,  -2.25,   7.63,  -2.25,   8.00, -11.98
5355515328393842304, -77.18,   2.58,  -3.21,   7.39,  -3.21,   7.77,   3.74
5405262560180880640, -82.76,   2.86,  -3.36,   7.70,  -3.36,   8.07,   8.68
5504899341798385280, -98.87, -20.15,  -8.26,   9.41,  -8.26,   9.79, 195.62
5521636726289286144, -95.11,  -3.31,  -2.95,   8.39,  -2.95,   8.76,  24.35
5522947344140081536, -97.84,  -3.68,  -2.09,   8.41,  -2.09,   8.79,   9.91
